% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
1.849	2	1	185	10	1	28	2292	0
1.85	2	1	186	1	1	28	2292	0
1.851	2	1	186	2	1	28	2292	0
1.852	2	1	186	3	1	28	2292	0
1.853	2	1	186	4	1	28	2292	0
1.854	2	1	186	5	1	28	2292	0
1.855	2	1	186	6	1	28	2292	0
1.856	2	1	186	7	1	28	2292	0
1.857	2	1	186	8	1	28	2292	0
1.858	2	1	186	9	1	28	2292	0
1.859	2	1	186	10	1	28	2292	0
1.86	2	1	187	1	1	28	2292	0
1.861	2	1	187	2	1	28	2292	0
1.862	2	1	187	3	1	28	2292	0
1.863	2	1	187	4	1	28	2292	0
1.864	2	1	187	5	1	28	2292	0
1.865	2	1	187	6	1	28	2292	0
1.866	2	1	187	7	1	28	2292	0
1.867	2	1	187	8	1	28	2292	0
1.868	2	1	187	9	1	28	2292	0
1.869	2	1	187	10	1	28	2292	0
1.87	2	1	188	1	1	28	2292	0
1.871	2	1	188	2	1	28	2292	0
1.872	2	1	188	3	1	28	2292	0
1.873	2	1	188	4	1	28	2292	0
1.874	2	1	188	5	1	28	2292	0
1.875	2	1	188	6	1	28	2292	0
1.876	2	1	188	7	1	28	2292	0
1.877	2	1	188	8	1	28	2292	0
1.878	2	1	188	9	1	28	2292	0
1.879	2	1	188	10	1	28	2292	0
1.88	2	1	189	1	1	28	2292	0
1.881	2	1	189	2	1	28	2292	0
1.882	2	1	189	3	1	28	2292	0
1.883	2	1	189	4	1	28	2292	0
1.884	2	1	189	5	1	28	2292	0
1.885	2	1	189	6	1	28	2292	0
1.886	2	1	189	7	1	28	2292	0
1.887	2	1	189	8	1	28	2292	0
1.888	2	1	189	9	1	28	2292	0
1.889	2	1	189	10	1	28	2292	0
1.89	2	1	190	1	1	28	2292	0
1.891	2	1	190	2	1	28	2292	0
1.892	2	1	190	3	1	28	2292	0
1.893	2	1	190	4	1	28	2292	0
1.894	2	1	190	5	1	28	2292	0
1.895	2	1	190	6	1	28	2292	0
1.896	2	1	190	7	1	28	2292	0
1.897	2	1	190	8	1	28	2292	0
1.898	2	1	190	9	1	28	2292	0
1.899	2	1	190	10	1	28	2292	0
1.9	2	1	191	1	1	28	2292	0
1.901	2	1	191	2	1	28	2292	0
1.902	2	1	191	3	1	28	2292	0
1.903	2	1	191	4	1	28	2292	0
1.904	2	1	191	5	1	28	2292	0
1.905	2	1	191	6	1	28	2292	0
1.906	2	1	191	7	1	28	2292	0
1.907	2	1	191	8	1	28	2292	0
1.908	2	1	191	9	1	28	2292	0
1.909	2	1	191	10	1	28	2292	0
1.91	2	1	192	1	1	28	2292	0
1.911	2	1	192	2	1	28	2292	0
1.912	2	1	192	3	1	28	2292	0
1.913	2	1	192	4	1	28	2292	0
1.914	2	1	192	5	1	28	2292	0
1.915	2	1	192	6	1	28	2292	0
1.916	2	1	192	7	1	28	2292	0
1.917	2	1	192	8	1	28	2292	0
1.918	2	1	192	9	1	28	2292	0
1.919	2	1	192	10	1	28	2292	0
1.92	2	1	193	1	1	28	2292	0
1.921	2	1	193	2	1	28	2292	0
1.922	2	1	193	3	1	28	2292	0
1.923	2	1	193	4	1	28	2292	0
1.924	2	1	193	5	1	28	2292	0
1.925	2	1	193	6	1	28	2292	0
1.926	2	1	193	7	1	28	2292	0
1.927	2	1	193	8	1	28	2292	0
1.928	2	1	193	9	1	28	2292	0
1.929	2	1	193	10	1	28	2292	0
1.93	2	1	194	1	1	28	2292	0
1.931	2	1	194	2	1	28	2292	0
1.932	2	1	194	3	1	28	2292	0
1.933	2	1	194	4	1	28	2292	0
1.934	2	1	194	5	1	28	2292	0
1.935	2	1	194	6	1	28	2292	0
1.936	2	1	194	7	1	28	2292	0
1.937	2	1	194	8	1	28	2292	0
1.938	2	1	194	9	1	28	2292	0
1.939	2	1	194	10	1	28	2292	0
1.94	2	1	195	1	1	28	2292	0
1.941	2	1	195	2	1	28	2292	0
1.942	2	1	195	3	1	28	2292	0
1.943	2	1	195	4	1	28	2292	0
1.944	2	1	195	5	1	28	2292	0
1.945	2	1	195	6	1	28	2292	0
1.946	2	1	195	7	1	28	2292	0
1.947	2	1	195	8	1	28	2292	0
1.948	2	1	195	9	1	28	2292	0
1.949	2	1	195	10	1	28	2292	0
1.95	2	1	196	1	1	28	2292	0
1.951	2	1	196	2	1	28	2292	0
1.952	2	1	196	3	1	28	2292	0
1.953	2	1	196	4	1	28	2292	0
1.954	2	1	196	5	1	28	2292	0
1.955	2	1	196	6	1	28	2292	0
1.956	2	1	196	7	1	28	2292	0
1.957	2	1	196	8	1	28	2292	0
1.958	2	1	196	9	1	28	2292	0
1.959	2	1	196	10	1	28	2292	0
1.96	2	1	197	1	1	28	2292	0
1.961	2	1	197	2	1	28	2292	0
1.962	2	1	197	3	1	28	2292	0
1.963	2	1	197	4	1	28	2292	0
1.964	2	1	197	5	1	28	2292	0
1.965	2	1	197	6	1	28	2292	0
1.966	2	1	197	7	1	28	2292	0
1.967	2	1	197	8	1	28	2292	0
1.968	2	1	197	9	1	28	2292	0
1.969	2	1	197	10	1	28	2292	0
1.97	2	1	198	1	1	28	2292	0
1.971	2	1	198	2	1	28	2292	0
1.972	2	1	198	3	1	28	2292	0
1.973	2	1	198	4	1	28	2292	0
1.974	2	1	198	5	1	28	2292	0
1.975	2	1	198	6	1	28	2292	0
1.976	2	1	198	7	1	28	2292	0
1.977	2	1	198	8	1	28	2292	0
1.978	2	1	198	9	1	28	2292	0
1.979	2	1	198	10	1	28	2292	0
1.98	2	1	199	1	1	28	2292	0
1.981	2	1	199	2	1	28	2292	0
1.982	2	1	199	3	1	28	2292	0
1.983	2	1	199	4	1	28	2292	0
1.984	2	1	199	5	1	28	2292	0
1.985	2	1	199	6	1	28	2292	0
1.986	2	1	199	7	1	28	2292	0
1.987	2	1	199	8	1	28	2292	0
1.988	2	1	199	9	1	28	2292	0
1.989	2	1	199	10	1	28	2292	0
1.99	2	1	200	1	1	28	2292	0
1.991	2	1	200	2	1	28	2292	0
1.992	2	1	200	3	1	28	2292	0
1.993	2	1	200	4	1	28	2292	0
1.994	2	1	200	5	1	28	2292	0
1.995	2	1	200	6	1	28	2292	0
1.996	2	1	200	7	1	28	2292	0
1.997	2	1	200	8	1	28	2292	0
1.998	2	1	200	9	1	28	2292	0
1.999	2	1	200	10	1	28	2292	0
